Время;Сообщение;Статус
17:06:07 06/03/19;Старт : Оператор sa Компьютер Компьютер 1 Версия 3.8.0.58188 3.8(DemoReleaseMax)_17_04_21_13_34;
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E101 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E103 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E105 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E107 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E109 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E110 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E102 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E104 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E106 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е101-Е110.Нормальный_теплообменик_1.E108 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е111-Е114.Нормальный_теплообменник_2.E111 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е111-Е114.Нормальный_теплообменник_2.E113 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е111-Е114.Нормальный_теплообменник_2.E112 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е111-Е114.Нормальный_теплообменник_2.E114 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Частичное испарение.Теплообменник.E123 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е115-Е126.Нормальный_теплообменник_3.E115 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е115-Е126.Нормальный_теплообменник_3.E117 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е115-Е126.Нормальный_теплообменник_3.E119 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е115-Е126.Нормальный_теплообменник_3.E121 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
17:06:11 06/03/19;Выполнение АТ9.ЭЛОУ.Е115-Е126.Нормальный_теплообменник_3.E116 | Нулевой объект должен иметь значение. : 0X80131509;Ошибка
